RouteDataID,CountryNum,StateNum,Route,RPID,Year,AOU,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal
6237647,840,59,001,101,1967,01782,0   ,0   ,0   ,2   ,0   ,1 ,2   
6237647,840,59,001,101,1967,01940,0   ,0   ,0   ,1   ,0   ,1 ,1   
6237647,840,59,001,101,1967,02890,7   ,17  ,15  ,8   ,10  ,29,57  
6237647,840,59,001,101,1967,03131,4   ,7   ,0   ,4   ,1   ,7 ,16  
6237647,840,59,001,101,1967,03160,4   ,13  ,12  ,2   ,3   ,25,34  
6237647,840,59,001,101,1967,03870,1   ,0   ,0   ,1   ,0   ,2 ,2   
6237647,840,59,001,101,1967,03930,0   ,2   ,0   ,0   ,0   ,1 ,2   
6237647,840,59,001,101,1967,04090,0   ,0   ,0   ,0   ,1   ,1 ,1   
6237647,840,59,001,101,1967,04120,0   ,0   ,0   ,2   ,1   ,2 ,3   
6237647,840,59,001,101,1967,04230,4   ,5   ,6   ,6   ,7   ,10,28  
6237647,840,59,001,101,1967,04440,5   ,2   ,1   ,0   ,0   ,4 ,8   
6237647,840,59,001,101,1967,04520,0   ,0   ,1   ,2   ,1   ,4 ,4   
6237647,840,59,001,101,1967,04610,0   ,1   ,1   ,0   ,1   ,3 ,3   
6237647,840,59,001,101,1967,04740,0   ,0   ,0   ,1   ,0   ,1 ,1   
6237647,840,59,001,101,1967,04770,8   ,2   ,4   ,3   ,8   ,17,25  
6237647,840,59,001,101,1967,04880,2   ,2   ,3   ,1   ,3   ,9 ,11  
6237647,840,59,001,101,1967,04930,79  ,58  ,134 ,37  ,67  ,34,375 
6237647,840,59,001,101,1967,04950,0   ,0   ,0   ,0   ,1   ,1 ,1   
6237647,840,59,001,101,1967,04980,2   ,1   ,18  ,2   ,0   ,11,23  
6237647,840,59,001,101,1967,05010,0   ,1   ,5   ,3   ,0   ,5 ,9   
6237647,840,59,001,101,1967,05060,0   ,0   ,0   ,1   ,0   ,1 ,1   
6237647,840,59,001,101,1967,05110,48  ,32  ,56  ,24  ,37  ,33,197 
6237647,840,59,001,101,1967,05460,0   ,0   ,2   ,0   ,0   ,2 ,2   
6237647,840,59,001,101,1967,05600,0   ,4   ,3   ,2   ,1   ,10,10  
6237647,840,59,001,101,1967,05630,2   ,2   ,2   ,0   ,3   ,8 ,9   
6237647,840,59,001,101,1967,05810,1   ,2   ,1   ,2   ,1   ,7 ,7   
6237647,840,59,001,101,1967,05870,0   ,0   ,0   ,1   ,3   ,3 ,4   
6237647,840,59,001,101,1967,05930,6   ,2   ,5   ,4   ,2   ,15,19  
6237647,840,59,001,101,1967,05980,0   ,1   ,2   ,1   ,3   ,7 ,7   
6237647,840,59,001,101,1967,06080,0   ,0   ,1   ,1   ,0   ,2 ,2   
6237647,840,59,001,101,1967,06110,4   ,0   ,4   ,0   ,4   ,4 ,12  
6237647,840,59,001,101,1967,06130,0   ,0   ,3   ,2   ,0   ,4 ,5   
6237647,840,59,001,101,1967,06240,0   ,0   ,0   ,2   ,1   ,3 ,3   
6237647,840,59,001,101,1967,06280,0   ,0   ,1   ,0   ,0   ,1 ,1   
6237647,840,59,001,101,1967,06740,0   ,0   ,1   ,0   ,5   ,4 ,6   
6237647,840,59,001,101,1967,06810,0   ,1   ,1   ,2   ,0   ,4 ,4   
6237647,840,59,001,101,1967,06882,33  ,58  ,41  ,20  ,10  ,25,162 
6237647,840,59,001,101,1967,07030,9   ,9   ,9   ,6   ,7   ,29,40  
6237647,840,59,001,101,1967,07040,1   ,0   ,0   ,3   ,0   ,3 ,4   
6237647,840,59,001,101,1967,07050,0   ,0   ,0   ,1   ,0   ,1 ,1   
6237647,840,59,001,101,1967,07210,0   ,1   ,0   ,4   ,0   ,5 ,5   
6237647,840,59,001,101,1967,07310,0   ,0   ,0   ,1   ,6   ,4 ,7   
6237647,840,59,001,101,1967,07550,1   ,1   ,0   ,1   ,1   ,4 ,4   
6237647,840,59,001,101,1967,07610,21  ,7   ,1   ,13  ,12  ,22,54  
6165706,840,59,001,101,1968,01320,0   ,3   ,0   ,0   ,0   ,2 ,3   
6165706,840,59,001,101,1968,01440,0   ,0   ,2   ,0   ,0   ,1 ,2   
6165706,840,59,001,101,1968,01782,0   ,0   ,0   ,6   ,0   ,1 ,6   
6165706,840,59,001,101,1968,02010,0   ,0   ,0   ,2   ,0   ,1 ,2   
6165706,840,59,001,101,1968,02890,4   ,28  ,19  ,3   ,8   ,28,62  
6165706,840,59,001,101,1968,03091,1   ,0   ,0   ,0   ,0   ,1 ,1   
6165706,840,59,001,101,1968,03131,0   ,6   ,6   ,4   ,1   ,8 ,17  
6165706,840,59,001,101,1968,03160,9   ,34  ,6   ,3   ,1   ,19,53  
6165706,840,59,001,101,1968,03250,0   ,0   ,1   ,0   ,1   ,2 ,2   
6165706,840,59,001,101,1968,03870,0   ,0   ,0   ,1   ,0   ,1 ,1   
6165706,840,59,001,101,1968,03940,2   ,0   ,0   ,1   ,0   ,3 ,3   
6165706,840,59,001,101,1968,04090,0   ,0   ,0   ,0   ,1   ,1 ,1   
6165706,840,59,001,101,1968,04120,0   ,0   ,1   ,1   ,1   ,3 ,3   
6165706,840,59,001,101,1968,04230,5   ,2   ,3   ,4   ,1   ,7 ,15  
6165706,840,59,001,101,1968,04440,0   ,1   ,0   ,0   ,0   ,1 ,1   
6165706,840,59,001,101,1968,04520,0   ,0   ,0   ,2   ,1   ,2 ,3   
6165706,840,59,001,101,1968,04560,0   ,0   ,0   ,1   ,0   ,1 ,1   
6165706,840,59,001,101,1968,04610,0   ,0   ,0   ,0   ,1   ,1 ,1   
6165706,840,59,001,101,1968,04740,0   ,0   ,3   ,0   ,0   ,1 ,3   
6165706,840,59,001,101,1968,04770,5   ,2   ,0   ,10  ,6   ,14,23  
6165706,840,59,001,101,1968,04880,12  ,1   ,2   ,2   ,0   ,10,17  
6165706,840,59,001,101,1968,04900,0   ,0   ,0   ,0   ,1   ,1 ,1   
6165706,840,59,001,101,1968,04930,82  ,32  ,42  ,28  ,46  ,27,230 
6165706,840,59,001,101,1968,04950,0   ,0   ,1   ,0   ,0   ,1 ,1   
